amount,transaction_hour,is_new_receiver,is_new_device,location_change,failed_transactions,transaction_frequency,account_age_days,is_fraud
2825.61,17,1,1,0,2,11,72,1
18070.73,23,0,0,0,1,10,828,1
7910.47,21,1,0,0,0,9,349,0
5487.66,6,0,0,1,0,10,435,0
1027.75,21,0,0,0,0,7,434,0
1027.58,1,1,0,0,0,11,57,1
369.03,22,0,0,0,2,3,197,0
12077.39,18,0,0,0,0,11,910,0
5524.49,7,0,0,0,0,7,536,0
7397.5,0,0,0,0,0,5,255,0
134.8,7,0,1,1,0,2,778,0
21031.34,21,0,0,0,0,11,709,0
10728.58,18,0,1,0,0,8,557,0
1442.13,17,1,0,0,4,19,182,1
1214.07,20,0,0,0,0,8,748,0
1225.67,12,0,0,0,0,3,626,0
2186.52,18,0,0,0,0,5,267,0
4473.57,18,1,0,0,0,5,225,0
3403.22,11,0,0,0,0,10,93,0
2075.34,8,0,0,0,0,19,98,0
5688.23,15,1,0,0,0,14,834,0
911.41,22,1,0,0,0,4,749,0
2083.09,9,0,0,0,0,7,937,0
2747.66,7,0,0,0,0,4,311,0
3663.61,23,0,0,0,2,6,48,0
9237.62,21,0,0,0,0,5,816,0
1346.42,22,1,1,0,0,10,169,1
4342.17,19,1,0,0,2,2,472,0
5395.03,16,0,1,0,0,11,570,0
295.38,12,0,0,0,0,4,423,0
5622.0,6,0,0,0,0,6,213,0
1131.77,21,1,0,1,1,12,584,1
413.58,12,0,0,0,1,7,394,0
17852.13,10,0,0,0,0,9,309,0
20233.78,9,0,0,0,1,5,109,0
9923.99,8,0,0,0,0,6,587,0
2189.73,15,0,0,0,2,7,828,0
626.66,9,1,1,1,0,5,501,1
6926.5,13,1,0,1,1,15,78,1
3490.55,13,0,1,0,0,12,581,0
790.91,4,0,0,0,0,3,512,0
4111.28,17,1,0,0,0,8,50,0
219.96,7,0,0,0,1,10,112,0
14412.54,14,0,0,0,1,8,793,0
1806.75,10,1,1,0,0,14,538,1
6527.53,20,1,0,0,1,11,550,1
2251.28,22,1,0,0,0,6,556,0
4414.67,7,0,1,0,1,10,813,1
4757.34,21,0,0,0,0,1,866,0
1236.33,13,0,0,0,0,9,990,0
20966.84,8,0,0,0,0,6,529,0
8963.47,23,1,0,0,0,8,372,0
16840.57,12,0,0,0,1,3,500,0
13522.91,20,0,0,0,1,6,53,0
5476.33,12,0,0,0,1,14,676,0
15306.61,21,0,0,0,0,7,737,0
565.93,0,1,0,0,1,9,607,0
1318.81,7,0,1,1,0,2,18,1
287.69,12,0,0,0,3,10,268,0
